institution_raw,institution,action_date,action_type
"JPMorgan Chase Bank, National Association","JPMorgan Chase Bank, National Association",2024-08-27,Prohibition/Removal Orders
U.S. Bank National Association,U.S. Bank National Association,2019-10-02,Prohibition/Removal Orders
"JPMorgan Chase Bank, National Association","JPMorgan Chase Bank, National Association",2023-10-16,Prohibition/Removal Orders
Citizens National Bank Of Limon,Citizens National Bank Of Limon,1994-01-06,Prohibition/Removal Orders
"Capital One, National Association","Capital One, National Association",2020-08-05,Civil Money Penalty (CMP)
"PNC Bank, National Association","PNC Bank, National Association",2000-03-08,C&D or PC&D Requiring Restitution
"JPMorgan Chase Bank, National Association","JPMorgan Chase Bank, National Association",2008-10-24,Prohibition/Removal Orders
Citizens National Bank Of Albion,Citizens National Bank Of Albion,1996-07-19,Prohibition/Removal Orders
"JPMorgan Chase Bank, National Association","JPMorgan Chase Bank, National Association",2006-11-08,C&D or PC&D Requiring Restitution
"Bank of America, National Association","Bank of America, National Association",2003-05-27,Prohibition/Removal Orders
"JPMorgan Chase Bank, National Association","JPMorgan Chase Bank, National Association",2011-04-25,Prohibition/Removal Orders
"Wells Fargo Bank, National Association","Wells Fargo Bank, National Association",2023-11-08,Prohibition/Removal Orders
"Chase Bank USA, National Association","Chase Bank USA, National Association",2013-09-18,Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)
"JPMorgan Chase Bank, National Association","JPMorgan Chase Bank, National Association",2019-11-07,Notice of Charges
"Bank Of America, N.T. & S.A.","Bank Of America, N.T. & S.A.",2001-09-18,Prohibition/Removal Orders
"Citibank, N.A.","Citibank, N.A.",1992-06-24,Securities Enforcement Action
"Bank of America, National Association","Bank of America, National Association",2004-07-14,C&D or PC&D Requiring Restitution
"JPMorgan Chase Bank, National Association","JPMorgan Chase Bank, National Association",2011-07-06,C&D or PC&D Requiring Restitution
Citic Ka Wah Bank Limited,Citic Ka Wah Bank Limited,2007-01-08,Formal Agreement
"JPMorgan Chase Bank, National Association","JPMorgan Chase Bank, National Association",2013-01-14,Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)
"Wells Fargo Bank, N.A.","Wells Fargo Bank, N.A.",2000-05-01,C&D or PC&D Requiring Restitution
"Wells Fargo Bank, Na","Wells Fargo Bank, Na",1997-10-02,Prohibition/Removal Orders
Citizens First National Bank,Citizens First National Bank,1994-05-16,Civil Money Penalty (CMP)
"Bank of America, National Association","Bank of America, National Association",2006-08-31,Prohibition/Removal Orders
"Wells Fargo Bank, National Association","Wells Fargo Bank, National Association",2021-01-13,Civil Money Penalty (CMP)
U.S. Bank National Association,U.S. Bank National Association,2017-06-02,Prohibition/Removal Orders
"Citibank, N.A.","Citibank, N.A.",2019-10-11,Civil Money Penalty (CMP)
"Wells Fargo Bank, National Association","Wells Fargo Bank, National Association",2008-03-07,Prohibition/Removal Orders
"Bank Of America, National Trust And Savings Association","Bank Of America, National Trust And Savings Association",1992-01-15,Civil Money Penalty (CMP)
"JPMorgan Chase Bank, National Association","JPMorgan Chase Bank, National Association",2019-01-07,Notice of Charges
The Citizens National Bank,The Citizens National Bank,2009-09-15,Prohibition/Removal Orders
"Citibank, N.A.","Citibank, N.A.",2020-01-17,Civil Money Penalty (CMP)
"JPMorgan Chase Bank, National Association","JPMorgan Chase Bank, National Association",2015-07-08,Civil Money Penalty (CMP)
"Bank Of America, N.T. & S.A.","Bank Of America, N.T. & S.A.",1997-02-07,Prohibition/Removal Orders
"Capital One, National Association","Capital One, National Association",2012-07-25,C&D or PC&D Requiring Restitution
"Capital One, National Association","Capital One, National Association",2014-11-06,Civil Money Penalty (CMP)
Citizens First National Bank,Citizens First National Bank,1993-07-09,Civil Money Penalty (CMP)
"Capital One Bank (USA), National Association","Capital One Bank (USA), National Association",2012-07-17,Civil Money Penalty (CMP)
"Bank of America, National Association","Bank of America, National Association",2006-08-31,C&D or PC&D Requiring Restitution
"Wells Fargo Bank, National Association","Wells Fargo Bank, National Association",2018-09-10,Prohibition/Removal Orders
"Capital One, National Association","Capital One, National Association",2012-07-25,Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)
"Wells Fargo Bank, National Association","Wells Fargo Bank, National Association",2015-11-19,Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)
"Bank of America, National Association","Bank of America, National Association",2007-05-03,Prohibition/Removal Orders
"Chase Bank USA, National Association","Chase Bank USA, National Association",2013-09-18,Civil Money Penalty (CMP)
"PNC Bank, National Association","PNC Bank, National Association",2013-02-28,C&D or PC&D Requiring Restitution
U.S. Bank National Association,U.S. Bank National Association,2005-04-29,Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)
U.S. Bank National Association,U.S. Bank National Association,2009-02-09,Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)
"Citibank, N.A.","Citibank, N.A.",2020-08-11,Notice of Charges
"Chase Bank USA, National Association","Chase Bank USA, National Association",2013-09-18,Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)
"Bank of America, National Association","Bank of America, National Association",2022-07-14,Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)
"Wells Fargo Bank, National Association","Wells Fargo Bank, National Association",2018-04-20,Civil Money Penalty (CMP)
"Bank of America, National Association","Bank of America, National Association",2007-05-11,Prohibition/Removal Orders
"Wells Fargo Bank, National Association","Wells Fargo Bank, National Association",2003-12-12,Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)
U.S. Bank National Association,U.S. Bank National Association,2024-10-23,1829 Prohibition Notification
"Bank of America, National Association","Bank of America, National Association",2003-11-26,Prohibition/Removal Orders
"JPMorgan Chase Bank, National Association","JPMorgan Chase Bank, National Association",2010-11-29,Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)
"JPMorgan Chase Bank, National Association","JPMorgan Chase Bank, National Association",2024-01-09,Prohibition/Removal Orders
"JPMorgan Chase Bank, National Association","JPMorgan Chase Bank, National Association",2016-01-04,Civil Money Penalty (CMP)
U.S. Bank National Association,U.S. Bank National Association,2013-02-28,C&D or PC&D Requiring Restitution
U.S. Bank National Association,U.S. Bank National Association,2024-04-01,1829 Prohibition Notification
"Wells Fargo Bank, National Association","Wells Fargo Bank, National Association",2019-05-16,Prohibition/Removal Orders
Bank Of America,Bank Of America,2000-01-18,Prohibition/Removal Orders
"Wells Fargo Bank, N.A.","Wells Fargo Bank, N.A.",2000-05-10,Prohibition/Removal Orders
"PNC Bank, National Association","PNC Bank, National Association",2024-04-09,Prohibition/Removal Orders
"JPMorgan Chase Bank, National Association","JPMorgan Chase Bank, National Association",2009-11-13,Notice of Charges
U.S. Bank National Association,U.S. Bank National Association,2015-10-23,Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)
"Wells Fargo Bank, N.A.","Wells Fargo Bank, N.A.",1997-12-17,C&D or PC&D Requiring Restitution
"Citizens National Bank of Norwalk, The","Citizens National Bank of Norwalk, The",1991-02-05,Prohibition/Removal Orders
"Bank Of America, N.T. & S.A.","Bank Of America, N.T. & S.A.",1997-12-05,Prohibition/Removal Orders
"Wells Fargo Bank, National Association","Wells Fargo Bank, National Association",2020-02-13,Prohibition/Removal Orders
U.S. Bank National Association,U.S. Bank National Association,2014-02-06,Prohibition/Removal Orders
"Wells Fargo Bank, National Association","Wells Fargo Bank, National Association",2020-03-06,Notice of Charges
"JPMorgan Chase Bank, National Association","JPMorgan Chase Bank, National Association",2013-09-18,Civil Money Penalty (CMP)
"Wells Fargo Bank, National Association","Wells Fargo Bank, National Association",2018-10-11,Prohibition/Removal Orders
"JPMorgan Chase Bank, National Association","JPMorgan Chase Bank, National Association",2025-03-31,Prohibition/Removal Orders
"Bank of America Texas, N.A.","Bank of America Texas, N.A.",2002-09-23,C&D or PC&D Requiring Restitution
"Wells Fargo Bank, National Association","Wells Fargo Bank, National Association",2009-09-10,Prohibition/Removal Orders
Citizens First National Bank,Citizens First National Bank,1994-04-04,Civil Money Penalty (CMP)
Citizens First National Bank,Citizens First National Bank,1994-04-04,Civil Money Penalty (CMP)
"Bank Of America, N.T. & S.A.","Bank Of America, N.T. & S.A.",1997-07-25,Prohibition/Removal Orders
U.S. Bank National Association,U.S. Bank National Association,2004-02-20,Prohibition/Removal Orders
"Wells Fargo Bank, National Association","Wells Fargo Bank, National Association",2019-02-21,Prohibition/Removal Orders
"PNC Bank, National Association","PNC Bank, National Association",2024-01-08,1829 Prohibition Notification
"Citibank, N.A.","Citibank, N.A.",1997-05-12,Prohibition/Removal Orders
"The Citizens National Bank and Trust Company, El Reno, Oklahoma","The Citizens National Bank and Trust Company, El Reno, Oklahoma",1991-07-23,Formal Agreement
"Bank of America, National Association","Bank of America, National Association",2008-07-16,Prohibition/Removal Orders
"Wells Fargo Bank, National Association","Wells Fargo Bank, National Association",2021-09-09,Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)
The Citizens National Bank of Meridian,The Citizens National Bank of Meridian,2017-10-26,Prohibition/Removal Orders
"Bank of America, National Association","Bank of America, National Association",2010-01-20,Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)
